[2024-01-12 10:08:14,319: INFO: common: created directory at: artifacts]
[2024-01-12 10:08:14,319: INFO: common: created directory at: artifacts/data_validation]
[2024-01-12 10:09:26,341: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-12 10:09:26,343: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-12 10:09:26,346: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-12 10:09:26,347: INFO: common: created directory at: artifacts]
[2024-01-12 10:09:26,348: INFO: common: created directory at: artifacts/data_validation]
[2024-01-12 10:17:14,153: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-12 10:17:14,155: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-12 10:17:14,158: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-12 10:17:14,161: INFO: common: created directory at: artifacts]
[2024-01-12 10:17:14,162: INFO: common: created directory at: artifacts/data_validation]
[2024-01-12 10:20:56,674: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-12 10:20:56,678: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-12 10:20:56,681: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-12 10:20:56,682: INFO: common: created directory at: artifacts]
[2024-01-12 10:20:56,683: INFO: common: created directory at: artifacts/data_validation]
[2024-01-12 10:27:48,565: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-12 10:30:54,871: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-12 10:32:45,534: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-12 10:32:45,535: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-12 10:32:45,540: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-12 10:32:45,541: INFO: common: created directory at: artifacts]
[2024-01-12 10:32:45,542: INFO: common: created directory at: artifacts/data_validation]
[2024-01-12 10:35:36,444: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-12 10:35:36,444: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-12 10:35:36,456: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-12 10:35:36,457: INFO: common: created directory at: artifacts]
[2024-01-12 10:35:36,458: INFO: common: created directory at: artifacts/data_validation]
[2024-01-12 10:48:38,891: INFO: main: >>>>>> stage Data Validation stage started <<<<<<]
[2024-01-12 10:48:38,891: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-12 10:48:38,891: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-12 10:48:38,906: INFO: common: yaml file: schema.yaml loaded successfully]
[2024-01-12 10:48:38,906: INFO: common: created directory at: artifacts]
[2024-01-12 10:48:38,906: INFO: common: created directory at: artifacts/data_validation]
[2024-01-12 10:48:38,943: INFO: main: >>>>>> stage Data Validation stage completed <<<<<<

x==========x]
